german,english
ist,is
ich,I
nicht,not
Sie,She
du,you
das,the
die,the
es,it
und,and
der,the
zu,to
sie,she
Das,The
ein,a
in,in
wir,we
Du,You
mir,me
mit,with
Was,What
den,the
mich,me
was,What
auf,on
dass,that
er,he
eine,one
Es,It
hat,has
Wir,We
Und,And
so,so
sind,are
von,from
dich,you
war,was
haben,have
für,for
Ja,Yes
hier,here
an,to
habe,have
Er,He
bin,am
wie,How
noch,still
dir,you
uns,us
sich,itself
Die,The
nur,only
einen,a
Nein,No
dem,dem
ihn,him
auch,also
hast,have
sein,be
ihr,her
da,there
aus,out of
kann,can
aber,but
Aber,But
schon,already
wenn,if
wird,becomes
um,around
Wie,How
als,as
bist,are
im,in the
mal,just
doch,but
gut,good
meine,mine
jetzt,now
weiß,white
Wenn,If
werden,become
Der,The
nach,after
ja,Yes
Oh,Oh
oder,or
dann,then
will,wants
mein,my
mehr,more
keine,no
etwas,something
alles,everything
muss,must
immer,always
nichts,nothing
man,man
wieder,again
bei,at
hab,have
machen,make
vor,before
Mann,Man
ihm,him
einem,one
tun,do
zum,for the
können,can
sagen,say
werde,become
denn,because
Ist,Is
Ein,A
Warum,Why
einer,one
gehen,go
sehen,see
sehr,very
geht,goes
alle,all
über,above
müssen,must
diese,this
einfach,simply
euch,you
des,des
nie,never
Also,So
Wo,Where
los,go
Zeit,Time
Ihnen,Them
gibt,gives
wirklich,really
Hey,Hey
Danke,Thanks
deine,your
würde,would
soll,should
Da,There
hatte,had
Hier,Here
wissen,knowledge
bitte,please
viel,much
Dann,Then
So,So
gesagt,said
Ihr,Her
am,on
kein,no
Komm,Come
Wer,Who
zurück,back
wurde,became
In,In
wollte,wanted
Frau,Woman
Leben,Life
wäre,were
wo,where
damit,with it
Nicht,Not
Gott,God
Leute,People
kannst,can
heute,today
meinen,mean
dieser,this
dein,your
kommt,comes
kommen,come
willst,want
Na,N/a
wollen,want
sicher,secure
ganz,quite
Jetzt,Now
Mein,My
Mr,Mr
also,so
zur,to
Hast,Have
Gut,Good
hätte,would have
weil,because
tut,does
Hallo,Hello
Okay,OK
macht,might
waren,were
bis,until
Vielleicht,Perhaps
könnte,could
Eine,One
Bitte,Please
weg,away
seine,his
lassen,let
Vater,Father
gesehen,seen
Nun,Well
gerade,straight
Alles,Everything
glaube,believe
Tag,day
ab,away
Geld,Money
gemacht,made
nein,no
Sir,Sir
sollte,should
sagte,said
keinen,none
durch,through
zwei,two
diesen,this one
passiert,happened
wohl,probably
vielleicht,perhaps
ihre,her
Mutter,Mother
reden,talk
anderen,others
dachte,thought
daß,that
möchte,want
wirst,will
gehört,heard
weißt,know
Keine,No
raus,out
Meine,Mine
paar,couple
besser,better
ob,whether
her,here
musst,must
Ordnung,Order
meiner,mine
klar,clear
ihnen,them
Los,Go
diesem,this one
meinem,mine
lange,long
Lass,Let
dieses,this
helfen,help
unsere,our
Weg,Away
selbst,himself
Nur,Only
finden,find
Mal,Just
jemand,someone
denke,think
Ach,Oh
Nacht,Night
genau,Exactly
gar,even
sagt,says
Welt,World
Auf,On
Mädchen,Girl
ins,into the
hin,there
vom,from the
schön,nice
warum,Why
weiter,further
Leid,Sorrow
gleich,even
wer,who
Man,Man
ohne,without
Menschen,People
deinen,yours
leid,sorrow
Wieso,How come
dort,there
Als,As
Hause,home
sollten,should
davon,of that
zusammen,together
geben,give
Ok,OK
Hör,Listen
machst,do
Freund,Friend
richtig,correct
Angst,Fear
Bist,Are
Tut,Does
Mit,With
viele,many
sieht,sees
Haus,House
tot,dead
sollen,should
ganze,whole
andere,other
getan,did
okay,OK
rein,pure
Diese,This
Moment,moment
bleiben,remain
brauchen,need
Weil,Because
Kinder,Children
unter,under
Arbeit,Work
Für,For
Problem,problem
dafür,for that
Herr,Mister
Haben,Have
wegen,because of
geht's,it's okay
liebe,love
genug,enough
dabei,included
bringen,bring
Ihre,Her
ne,no
gegen,against
Weißt,You know
Sag,Say
schnell,fast
nun,so
eines,one
brauche,need
Abend,Evening
hatten,had
Jahre,Years
Mach,Do
Bruder,Brother
Sache,Matter
hören,hear
komm,come
Sohn,Son
seit,since
Morgen,Morning
drei,three
steht,stands
Scheiße,shit
mag,likes
sei,be
unser,our
konnte,could
habt,have
Oder,Or
einmal,once
heißt,is called
OK,OK
Willst,Want
Kopf,Head
Hilfe,Help
Familie,Family
Geh,Go
Baby,baby
Dich,You
Sind,Are
erst,first
fertig,complete
gefunden,found
seid,are
kam,came
nehmen,take
morgen,morning
sprechen,speak
Mir,Me
sofort,immediately
Kann,Can
Hat,Has
Jahren,years
Kind,child
seinen,his
Genau,Exactly
daran,to it
Junge,Boy
Minuten,minutes
bevor,before
Stadt,City
beim,at the
sterben,die
warst,were
Recht,Right
glauben,believe
Warte,Wait
darüber,about it
deiner,yours
deinem,yours
Ende,End
He,Hey
Dinge,Things
Namen,names
wahr,true
Alle,All
allein,alone
Natürlich,Naturally
töten,kill
Nichts,Nothing
Wirklich,Really
bekommen,receive
Männer,Men
vergessen,forget
Doch,But
dazu,in addition
gab,gave
später,later
wusste,knew
Augen,Eyes
Dank,Thanks to
Freunde,Friends
Jungs,guys
halten,hold
warten,wait
Glück,Luck
beide,both
gute,good
Dein,Your
kennen,know
Deine,Your
n,n
Hi,Hi
Dr,Dr
Auto,car
sage,saw
gehe,go
komme,come
Dir,You
mache,make
Von,From
Uhr,Clock
sehe,see
Teufel,Devil
sonst,otherwise
Art,Art
gern,gladly
Liebe,Love
jeden,every
könnten,could
ihren,your
Halt,Stop
Fall,case
Dad,Dad
Film,film
bisschen,a little
eigentlich,actually
weit,far
mach,do
Gib,Give
vorbei,over
verstehe,understand
danke,Thanks
drin,inside
Im,In the
Name,name
ganzen,entire
Musik,Music
würden,would
Tür,door
verrückt,crazy
solltest,should
denken,think
Noch,Still
dran,your turn
Sieh,See
lieber,Dear
Den,The
leben,life
Guten,Good
Um,Um
darauf,on it
Kein,No
stimmt,true
Kerl,guy
letzte,last
Job,job
verloren,lost
wurden,became
kenne,know
Ahnung,Idea
seiner,his
Grund,Reason
toll,great
Bis,Until
Verdammt,Damned
bald,soon
bereit,ready
all,all
jemanden,someone
hinter,behind
Schon,Already
Sehr,Very
Hand,hand
darf,may
Dieser,This
Frauen,Women
Euch,You
Idee,idea
runter,down
Macht,Power
draußen,outside
lang,long
Land,country
lass,let
Typ,type
hätten,would have
egal,doesn't matter
arbeiten,work
spät,late
stehen,stand
ok,OK
Gute,Good
gekommen,came
Bei,At
etwa,approximately
essen,eat
kleine,small
jeder,everyone
Schwester,Sister
Wasser,Water
spielen,play
Geschichte,Story
seinem,his
liegt,lies
sah,saw
Mom,Mom
Seite,Page
wenig,few
ruhig,quiet
Frage,Ask
meinst,mean
überhaupt,at all
fahren,drive
Ganz,Quite
Gehen,Go
Essen,Eat
Ruhe,Quiet
echt,real
versucht,tried
Tochter,Daughter
Kommt,Comes
Einen,A
ging,went
Jahr,Year
braucht,needs
fast,almost
neue,new
geh,go
ziemlich,quite
anders,different
siehst,see
Polizei,police
Stunden,Hours
musste,had to
Spiel,Game
gewesen,been
gerne,gladly
finde,find
erzählt,told
Tod,Death
Ort,Location
Chance,chance
bedeutet,means
War,Was
sag,say
sagst,say
fragen,questions
letzten,last
sogar,even
ersten,first
Sachen,Things
Wahrheit,Truth
einzige,only
kurz,short
denen,those
Kommen,Come
Spaß,Fun
Nach,After
oben,above
Mama,mama
schwer,difficult
Schule,School
je,ever
eben,even
Gesicht,Face
bestimmt,certainly
treffen,meet
niemand,no one
Woche,Week
Entschuldigung,Excuse me
Sorgen,Care for
warte,wait
natürlich,naturally
schlecht,bad
große,size
getötet,killed
verstehen,understand
hoffe,hope
Ah,Uh
Sei,Be
Zimmer,Room
hoch,high
unserer,ours
Tage,days
Teil,Part
Wann,When
suchen,seek
verlassen,leave
zeigen,show
wollten,wanted
lässt,lets
Wort,Word
eins,one
zwischen,between
Woher,From where
Schatz,Treasure
Wissen,To know
versuchen,attempt
Können,Can
Kannst,Can
nett,nice
Zu,To
kriegen,get
Geht,Goes
Arsch,ass
kleinen,small
Hab,Have
weiss,white
erste,first
läuft,running
kommst,come
Freundin,Girlfriend
Mensch,Person
beiden,both
Ding,thing
niemals,never
endlich,finally
Nimm,Take
muß,must
gehst,go
Heute,Today
denkst,think
Herz,Heart
Waffe,weapon
Soll,Should
tust,do
Dollar,dollar
nehme,take
Schau,Look
holen,fetch
oft,often
drauf,on it
anderes,other
Niemand,No one
unten,below
Wagen,Dare
Yeah,Yeah
Schön,Nice
wichtig,important
Mrs,Mrs
hättest,would have
allen,everyone
Miss,Miss
ihrer,theirs
gedacht,thought
Nummer,number
würdest,would
erzählen,tell
bleibt,remains
Auch,Also
Hände,hands
Blut,blood
Sehen,See
bloß,just
recht,right
bringt,brings
Bett,Bed
Lassen,Let
Eltern,Parents
gefällt,pleases
Schuld,Fault
eure,your
Plan,plan
Krieg,War
neuen,new
Klar,Clear
retten,save
guter,goods
während,while
ihrem,theirs
wären,would be
Fehler,Mistake
scheint,appears
Lasst,Let
gegeben,given
An,To
hör,listen
glücklich,happy
verdammt,damned
alt,old
Platz,Place
darum,therefore
Vielen,Many
falsch,incorrect
unseren,ours
schlafen,sleep
Sagen,Say
nächsten,next
fünf,five
frei,free
Sorge,Worries
Vor,Before
fest,firmly
bereits,already
alleine,alone
Denn,Because
Zwei,Two
Fragen,Questions
möglich,possible
irgendwie,somehow
Papa,papa
lernen,learn
gestern,yesterday
hierher,here
Schiff,Ship
vier,four
irgendwas,something
Stimmt,True
Menge,Crowd
keiner,none
brauchst,need
Typen,Types
Dass,That
Stunde,Hour
Szene,scene
Hölle,hell
einige,some
Deshalb,For this reason
geworden,become
Telefon,phone
Darf,May
Feuer,Fire
Wollen,Want
Bin,Am
Alter,Old
Captain,Captain
Aus,Out of
Dieses,This
Probleme,problems
Jeder,Everyone
verstanden,understood
wann,When
alten,old
gibt's,there is
sondern,rather
guten,good
zwar,that is
eigenen,own
New,New
Körper,Body
hört,hears
Zum,For the
gebe,give
Kumpel,Buddy
Hund,Dog
nochmal,again
hab's,got it
früh,early
Hören,Hear
trinken,drink
besten,best
meines,mine
schaffen,create
alte,old ones
Luft,Air
Jemand,Someone
dürfen,may
Meister,Master
Erde,Earth
Seit,Since
Sicher,secure
Hört,Listen
Zukunft,Future
kaum,barely
funktioniert,functions
voll,full
Bleib,Stay
reicht,suffices
weh,sore
stellen,place
Siehst,See
kleiner,smaller
großen,big
Waffen,Weapons
Büro,Office
Wahl,Choice
verlieren,lose
Wochen,weeks
Damit,With it
Stück,Piece
lieben,love
allem,everything
getroffen,met
äh,uh
Am,On
geschafft,done
tue,do
gefallen,fallen
Tja,Well
Boss,boss
überall,everywhere
Sieht,Sees
passieren,happen
lustig,funny
Licht,Light
gebracht,brought
nennen,to name
Folge,Consequence
Gefühl,Feeling
völlig,fully
denkt,thinks
Schlüssel,Key
drüben,over
Richtig,Correct
wieso,how come
Leuten,people
Buch,Book
laufen,run
spielt,plays
früher,earlier
Sein,Be
krank,sick
gegangen,gone
fand,found
Seine,His
Pass,passport
fühle,feel
Himmel,Heaven
froh,glad
leicht,light
direkt,direct
langsam,slow
wolltest,wanted
erinnern,remember
zuerst,first
Krankenhaus,hospital
Viel,Much
beste,best
welche,which
genommen,taken
Arzt,Physician
unserem,ours
Idiot,idiot
Machen,Make
glaubst,believe
jede,every
Ohne,Without
groß,large
hattest,had
Äh,Uh
Jungen,boys
Rest,rest
Unsere,Our
versuche,try
Tagen,days
nächste,next
Entschuldigen,Excuse
Doktor,doctor
spricht,speaks
könnt,can
hält,holds
Team,team
Verstanden,Understood
kämpfen,battle
heiraten,marry
könntest,could
Wow,Wow
Etwas,Something
Straße,Street
Mist,Crap
König,king
redest,talk
kleines,small
lebt,lives
erklären,explain
worden,been
Millionen,Millions
Wiedersehen,Goodbye
Onkel,Uncle
kennst,know
sitzen,sit
dies,this
weniger,fewer
Kaffee,Coffee
ernst,serious
wollt,wanted
tragen,carry
Zeug,Things
trotzdem,despite it
Ihren,Your
kaufen,buy
Liste,list
ändern,change
Kampf,Battle
hasse,hate
Person,person
Mund,mouth
umbringen,kill
Präsident,president
Boden,Floor
Wohin,Where
machte,made
Party,party
gefragt,asked
Seht,See
irgendwo,somewhere
kümmern,take care
kennt,knows
verletzt,injured
Habt,Have
Nachricht,News
Willkommen,Welcome
vielen,many
hart,hard
lasse,let
total,total
Gefängnis,Jail
außer,except
Sicherheit,Security
Schnell,Fast
wem,whom
ehrlich,honest
interessiert,interested
Sex,sex
sagten,said
ziehen,pull
Welche,Which
Unser,Our
Augenblick,moment
angerufen,called
aufhören,stop
Klasse,Class
Bild,Picture
stark,strong
Dies,This
Eure,Your
zehn,ten
Sinn,sense
vorstellen,introduce
Traum,Dream
länger,longer
manchmal,sometimes
anrufen,call
sechs,six
Arschloch,asshole
sollst,should
gestorben,died
Tages,day
war's,it was
verschwinden,disappear
Kraft,Power
gesprochen,spoken
heraus,out of here
genauso,just as
wärst,would be
Eins,One
damals,at that time
heißen,be called
Liebling,Darling
wahrscheinlich,probably
deshalb,for this reason
Stelle,position
halt,stop
erwartet,expected
solche,such
meisten,most
bringe,bring
still,silent
umgebracht,killed
Stimme,Agree
General,general
Geben,Give
Entschuldige,Sorry
Vergiss,Forget
rede,speech
führen,lead
Bewegung,Movement
höre,listen
Sonst,Otherwise
Geschäft,Business
werdet,will
konnten,could
wartet,waits
Raus,Out
anfangen,begin
Habe,Have
hinten,rear
fällt,falls
wen,who
Sekunden,seconds
Manchmal,Sometimes
gerettet,saved
Naja,Oh well
Gibt,Gives
jemals,ever
Meinung,Opinion
geschehen,happen
Antwort,Answer
schlimm,terrible
Eigentlich,Actually
findet,finds
Scheiß,Shit
gewinnen,win
Tu,Do
Gedanken,Thoughts
erinnere,remember
mögen,like
Herren,Gentlemen
klingt,sounds
vorher,previously
Auge,Eye
hab',have'
setzen,set
cool,cool
Anfang,Beginning
Immer,Always
danach,thereafter
Monate,Months
Lebens,life
Beste,Best
benutzen,use
Nehmen,Take
fühlen,feel
Ärger,Trouble
arbeite,work
Rolle,role
gefährlich,dangerous
Dort,There
gelernt,learned
fallen,fall
böse,evil
werd,will
Nähe,Vicinity
geschickt,sent
liebt,loves
Tisch,Table
Mehr,More
Ziel,Goal
Raum,Space
jedem,everyone
fliegen,fly
Wohnung,Apartment
Dafür,For that
erfahren,experience
dumm,dumb
eher,rather
vorsichtig,cautious
herum,around
Klappe,flap
schicken,send
Laden,Load
aufs,ons
Wird,Becomes
Warten,Wait
