german,english
großer,big one
arbeitet,works
Euer,Your
Worte,words
richtige,correct
Flugzeug,Airplane
Firma,company
bezahlen,pay
Einer,One
Glaubst,Believe
falls,if
schreiben,write
tat,did
Darum,Therefore
starb,died
Schluss,Ending
Fenster,Window
liegen,lay
wär's,that would be it
Verzeihung,forgiveness
niemanden,nobody
neues,new
Weiß,White
benutzt,used
nen,nen
jedes,each
schätze,guess
Finger,finger
wert,value
rüber,over
halte,hold
Falls,If
besonders,particularly
Daddy,Daddy
Witz,Joke
nachdem,after
nimmt,takes
Kontrolle,control
großartig,great
Herzen,hearts
gutes,good
gewonnen,won
Bier,Beer
kamen,came
Drei,Three
stolz,proud
Egal,No matter
komisch,funny
bitten,ask
Ihrer,Yours
plötzlich,suddenly
Bring,Bring
Informationen,information
bring,bring
neu,new
glaubt,believes
Seid,Are
hörte,heard
rum,rum
Lage,Position
sowieso,anyway
bekommt,receives
Ruf,Call
dagegen,against it
Richtung,Direction
nötig,necessary
Minute,minute
lesen,read
behalten,keep
selber,himself
verkaufen,sell
geschrieben,written
Entscheidung,Decision
unterwegs,on the way
Insel,Island
Hotel,hotel
voller,fuller
frage,ask
Monat,Month
rufe,shout
verdient,earned
gearbeitet,worked
wenigstens,at least
wünschte,wished
tu,do
schöne,beautiful
Selbst,Himself
Seele,Soul
stand,stood
Geist,Spirit
Gefahr,Danger
Gefallen,Fallen
unmöglich,impossible
gelesen,read
glaub,believe
Wegen,Because of
bezahlt,paid
Schicksal,Fate
verstehst,understand
leider,unfortunately
Monaten,months
Weile,while
verheiratet,married
mussten,had to
Agent,agent
rufen,call
jemandem,someone
gib,give
Beispiel,Example
kalt,cold
sitzt,sits
Anruf,Call
Sekunde,second
schneller,faster
hey,hey
verdammte,damn
euer,your
hole,fetch
Denkst,Think
Bauer,farmer
Karte,Map
aller,all
du's,it's you
Befehl,command
darfst,may
bekannt,known
Opfer,Victim
unglaublich,incredible
steckt,stuck
Ernst,Serious
unbedingt,absolutely
Wen,Who
Zug,Train
perfekt,perfect
witzig,funny
Amerika,America
Keiner,None
Kamera,camera
führt,leads
passt,fits
schlagen,hit
kriegt,gets
Glauben,Believe
sieh,see
nennt,calls
bin's,it's me
Gefühle,feelings
ständig,constant
verändert,changed
tolle,great
Gottes,God's
heiß,hot
Partner,partner
Mörder,Murderer
folgen,consequences
Mich,Me
Computer,computer
dahin,there
ansehen,view
Außerdem,Besides that
Wovon,Of what
nimm,take
klein,small
zerstört,destroyed
suche,search
I,I
nämlich,namely
Versuch,Attempt
schlimmer,worse
Sheriff,sheriff
Unfall,Accident
müsste,would have to
entschuldigen,excuse
Vorsicht,Caution
Nase,Nose
sowas,like this
schießen,shoot
alter,age
Geburtstag,Birthday
beschützen,protect
Zurück,Back
müde,tired
Beziehung,Relationship
gestohlen,stolen
stirbt,dies
Geheimnis,Secret
süß,sweet
offen,open
Ihrem,yours
Geschenk,Gift
Punkt,Point
Über,Over
hilft,helps
Dame,lady
bewegen,move
solange,as long as
sauer,sour
Tasche,Bag
Schritt,Step
Sie's,It's her
Setz,Set
Arm,arm
meinte,said
müsst,must
erwischt,caught
gehabt,had
Bart,beard
vertrauen,trust
erreichen,to reach
wär,would be
Gebäude,Building
Ähm,Um
versprochen,promised
O,O
fort,continued
erledigt,completed
Armee,army
nahm,took
näher,closer
weitere,more
Will,Will
Rücken,Back
Chef,Boss
Regierung,Government
Preis,Price
Hm,Hm
Wunder,Wonder
Verbindung,Connection
Bescheid,Notice
Boot,boat
Situation,situation
normal,normal
erledigen,complete
mußt,must
Ehre,Honor
Planeten,Planets
fürs,for
darin,in it
kriegst,you get
ich's,I ... it
drehen,turn
Denk,Think
Prinzessin,princess
Drogen,Drugs
Reise,Trip
Mord,murder
Ob,Whether
Toll,Great
schwöre,swear
Zeiten,times
Schlampe,slut
Regeln,Regulate
aussehen,look
Rede,speech
verliebt,in love
Position,position
redet,talks
Scheisse,Shit
Möglichkeit,Possibility
Sonne,Sun
hol,get
letzter,last
Kontakt,contact
Könnte,Could
Damen,Ladies
deswegen,because of this
ähm,um
gekauft,bought
Schwert,sword
Hunger,hunger
Frieden,Peace
persönlich,personal
Blick,View
Einzige,Only
Nachrichten,News
Maul,Mouth
verraten,betrayed
Hoffnung,Hope
geboren,born
Untertitel,Subtitles
kaputt,broken
Soldaten,soldiers
eigene,own
ans,ans
übrig,left over
Muss,Must
hältst,hold
aufhalten,stop
Zeichen,Sign
Sofort,Immediately
dauert,lasts
versteckt,hidden
tatsächlich,actually
Schwein,Pig
Band,band
Laß,Let
Haare,Hair
wütend,angry
Hochzeit,Wedding
schrecklich,terrible
fühlt,feels
Energie,energy
traurig,sad
sauber,clean
Leiche,Corpse
links,left
Kleine,Small
super,super
Bord,board
möchten,want
Erst,First
magst,like
fangen,catch
gesucht,wanted
beschäftigt,busy
wisst,know
weisst,know
Wartet,Wait
erwarten,expect
verschwunden,disappeared
Professor,professor
sobald,as soon as
geredet,talked
Brief,letter
acht,eight
Lauf,Run
zeigt,shows
Show,show
hübsch,pretty
sucht,seeks
verkauft,sold
sagtest,you said
namens,called
Fernsehen,TV
wohin,where
Hol,Hol
ließ,let
heiße,hot
fährt,drives
tanzen,dance
nervös,nervous
findest,find
gegessen,eaten
fehlt,missing
Vergangenheit,Past
miteinander,each other
deines,yours
neben,next to
Handy,cell phone
anderer,others
tief,deep
ran,ran
Runter,Down
Aufgabe,Task
richtigen,correct
Foto,photo
schau,look
verdammten,damn
Tee,tea
sieben,seven
Fuß,Foot
geschlafen,slept
brauch,need
Kindern,children
Beine,Legs
ewig,forever
absolut,absolutely
hm,Hm
schlechte,bad
Unsinn,nonsense
ruf,call
Treffen,Meet
irgendetwas,anything
hörst,hear
Bombe,bomb
bekam,got
Herrn,Mr
Halten,Hold
gelassen,calm
Tante,aunt
angefangen,begun
Hals,Neck
vorne,in front
Bullen,Bulls
Bank,bank
Weise,Way
verantwortlich,responsible
öffnen,open
schwierig,difficult
seh,see
bleibe,stay
rechts,right
Operation,operation
Sollen,Should
Anwalt,Attorney
verspreche,promise
bleibst,stay
a,a
Glückwunsch,congratulations
entscheiden,decide
entfernt,removed
brachte,brought
zerstören,destroy
Wahrscheinlich,Probably
Lied,song
gespielt,played
aussieht,looks
Tun,Do
Lust,Desire
Vaters,father
Uh,Uh
Meinst,I mean
Bilder,Pictures
uh,uh
kriege,get
Feind,Enemy
Händen,hands
jung,young
Ball,ball
stecken,put
Sobald,As soon as
Reden,Talk
geholfen,helped
gleichen,same
gehören,belong
wach,awake
genannt,called
zahlen,pay
nahe,vicinity
Aufnahme,Recording
Achtung,Danger
gleiche,same
Viele,Many
Mission,mission
bekomme,get
laut,loud
Schmerz,pain
Ehrlich,Honestly
Schlag,Blow
Jawohl,Yes indeed
Fleisch,Meat
legen,place
möchtest,would like
Verstehst,I see
Wozu,For what reason
Weihnachten,Christmas
Erinnerst,Remember
Zieh,Pull
Schwierigkeiten,difficulties
Park,park
Durch,Through
Bleiben,Remain
wussten,knew
meint,means
Gesellschaft,Company
gebeten,requested
erhalten,receive
bedeuten,mean
Kennst,Know
verstecken,hide
Respekt,respect
dasselbe,same
Gehirn,Brain
entschieden,decided
zieht,pulls
liebst,love
dachten,thought
Witze,jokes
na,n/a
sorgen,care for
All,All
Volk,People
Rat,Advice
lebe,live
Präsidenten,Presidents
Schuhe,Shoes
Monster,Monster
dauern,last
Beweise,Proofs
Hälfte,half
schauen,look
Kirche,Church
Eines,One
Hintern,butt
Spur,track
Lehrer,Teacher
Hilf,Help
Gold,Gold
Denken,Think
lieb,dear
wunderbar,wonderful
Güte,Quality
lasst,let
geliebt,loved
fahre,drive
Loch,Hole
geschlagen,beaten
ganzes,whole
wunderschön,beautiful
lachen,laugh
beweisen,prove
Zeig,Show
Kleiner,Smaller
gegenüber,opposite
Bus,bus
großes,big
Verstand,mind
trägt,carries
herausfinden,find out
gewartet,waited
niemandem,nobody
Gegend,Area
Bevor,Before
schönen,beautiful
seltsam,strange
bewegt,moved
Haut,skin
Fotos,Photos
nah,close
Angriff,attack
Erzähl,Tell
interessant,interesting
Schlaf,Sleep
Wind,wind
Messer,Knife
lag,lay
fürchte,fear
beginnt,begins
Weiter,Further
überrascht,surprised
Stell,Place
gefangen,caught
bleib,stay
Bein,leg
Eier,Eggs
singen,sing
seht,see
Überraschung,Surprise
Dorf,Village
besorgen,obtain
Glas,Glass
Fünf,Five
Einfach,Simply
besuchen,visit
geändert,changed
beginnen,start
echte,real
Pferd,Horse
Held,hero
Taxi,taxi
Freunden,friends
mitnehmen,take along
Gruppe,group
Sorry,Sorry
besorgt,worried
System,system
Gleich,Same
Würde,Would
ruft,calls
Fahren,Drive
Steh,Stand
nimmst,take
Obwohl,Although
Bringt,Brings
falschen,wrong
leisten,afford
schwanger,pregnant
Fahr,Drive
Adresse,address
gemeinsam,together
entkommen,escape
übel,bad
vermisst,missing
Lady,lady
Küche,Kitchen
Flug,Flight
Besuch,Visit
hängt,hangs
werfen,throw
falsche,false
Sogar,Even
Ring,ring
Verschwinde,Go away
überleben,survive
Gesetz,Law
Tor,Goal
Wald,Forest
ungefähr,approximately
Patienten,patients
Maschine,machine
Könnten,Could
junge,boy
Fräulein,miss
gehts,it's okay
Ehe,Before
Würden,Would
Schauspieler,Actor
Dach,Roof
Übersetzung,translation
kannte,knew
Bringen,Bring
wir's,we s
drinnen,inside
Wisst,Know
Während,While
Tat,Act
Suche,Search
Letzte,Last
blöd,stupid
Blumen,Flowers
Setzen,Set
Freiheit,Freedom
seines,his
Ecke,Corner
Wäre,Were
Knast,Jail
Karten,Cards
pro,per
Leg,Leg
helfe,help
oh,Oh
Wein,Wine
wette,bet
Vergnügen,Enjoyment
Uns,Us
Unterschied,Difference
Lieber,Dear
Verbrechen,crime
gibst,give
Vertrauen,Trust
gesund,healthy
Deswegen,Because of this
zweite,second
Hörst,Listen
erkennen,recognize
Meter,meter
euren,yours
weder,neither
Schüler,Pupils
obwohl,although
bisher,until now
welcher,which
Mut,courage
davor,before that
Bar,Bear
wohnen,reside
Dem,Dem
Echt,Real
statt,instead of
Pause,pause
Neues,New
Auftrag,Order
Hoffentlich,Hopefully
Tschüss,Bye
Wand,Wall
schreit,screams
Männern,men
Kennen,Know
spreche,speak
kostet,costs
Zuerst,First
Erfolg,Success
Wofür,For what
soweit,so far
Möchtest,Would like
Meinen,Mean
teilen,split
erschossen,shot
entlang,along
Eis,Ice
nem,nem
Amerikaner,American
Abendessen,Dinner
Mistkerl,bastard
übernehmen,take over
Irgendwas,Something
danken,thank
irgendwann,sometime
gebaut,built
schützen,protect
beenden,finish
Super,Super
Polizist,policeman
gefahren,driven
Bericht,report
wovon,from what
Test,test
Monsieur,Monsieur
Arme,poor
wüsste,knew
woher,from where
Majestät,majesty
Fertig,Ready
versteht,understands
trifft,hits
Meer,sea
Hut,hat
zuvor,before
lief,ran
Haltet,Hold on
Zeitung,Newspaper
Mami,Mommy
schuldig,guilty
bauen,build
Freude,Joy
zufrieden,satisfied
Zuhause,At home
versuchte,tried
Drink,drink
Niemals,Never
sprach,spoke
indem,by
gemeint,meant
fühlst,feel
deren,whose
Quatsch,Nonsense
Kugel,Bullet
Klingt,Sounds
hielt,held
Gericht,Court
furchtbar,terrible
Würdest,Would you
Wirst,Will
verpasst,missed
Ohren,ears
Rose,rose
neuer,newer
fanden,found
Haufen,heap
Drehbuch,script
Gutes,Good
Schätzchen,baby
Deal,deal
Ma'am,Ma'am
Haar,hair
stehe,stand
fassen,grasp
Ehemann,Husband
funktionieren,function
fragte,asked
verhaftet,arrested
drüber,over it
Sergeant,sergeant
stimmt's,right
Verantwortung,Responsibility
Major,major
feiern,celebrate
Bücher,Books
kümmere,take care
ähnlich,similar
unterhalten,entertain
Stein,Stone
kümmert,cares
nächstes,next
gewusst,known
Beim,At the
schöner,more beautiful
aufpassen,watch out
Unglaublich,Incredible
Katze,Cat
geschieht,happens
Brüder,brothers
mitgebracht,brought along
unseres,ours
Verstehe,Understand
Lord,lord
letztes,last
dessen,whose
Vier,Four
mitten,middle
erinnert,remembered
Wahnsinn,Craziness
vorhin,earlier
Neuigkeiten,news
setzt,sets
klasse,class
Einige,Some
zufällig,randomly
Kleid,Dress
Jedenfalls,Anyway
Angebot,Offer
erklärt,explained
stellt,provides
Restaurant,restaurant
Kommst,Come on
Zur,To
Serie,series
melden,report
Brücke,Bridge
Erinnerungen,Memories
gestellt,placed
Sagt,Says
Schmerzen,Pains
besteht,consists
verdienen,earn
hallo,Hello
offensichtlich,apparently
Fisch,Fish
hängen,hang
Gelegenheit,Opportunity
Endlich,Finally
Möchten,Want
konntest,could
bekommst,get
Idioten,Idiots
Virus,virus
größte,largest
gingen,went
Strand,Beach
geplant,planned
betrunken,drunk
fängt,catches
keinem,no one
bringst,bring
Süße,sweetness
irgendwelche,any
Thema,Theme
Date,Date
Stellen,Place
machten,made
diesmal,this time
Guck,Look
Figur,figure
Weisst,You know
ne,no
brechen,break
lacht,laughs
Gar,Even
angetan,impressed
Paar,Couple
Druck,Pressure
mitkommen,come along
reich,rich
Nie,Never
Fluss,Flow
wirkt,works
Werden,Become
traf,met
schließlich,finally
Richtige,Correct
Gewalt,Violence
gelaufen,ran
Daten,Data
Hunde,dogs
Großvater,grandfather
wahre,true
nachgedacht,thought about
Falle,trap
eigenes,own
Gang,gear
sahen,saw
erreicht,reached
Willen,will
solchen,such
schlechter,worse
einzigen,single
willkommen,welcome
ermordet,murdered
Tiere,Animals
Sollte,Should
ner,ner
längst,long ago
Autos,Cars
Hätte,Would have
wohnt,lives
krieg,war
fiel,fell
Hose,Pants
leiden,suffer
Hau,Hau
sprichst,speak
freue,am happy
Außer,Except
gebrochen,broken
Baum,Tree
gehalten,held
Träume,Dreams
Reihe,Row
stelle,place
Medizin,medicine
halb,half
gezeigt,shown
Meilen,miles
Lieutenant,Lieutenant
hieß,was called
Wunsch,Wish
erster,first
Befehle,Commands
Bastard,bastard
rief,shouted
Nachdem,After
Toten,Kill
Frühstück,Breakfast
schaffst,create
ihres,hers
hat's,has it
aufgeben,give up
Gespräch,Conversation
Engel,angel
verbringen,spend
Terroristen,Terrorists
Erfahrung,Experience
brauchte,needed
schätzen,treasure
seien,be
Nehmt,Take
Bad,bathroom
Vogel,Bird
Wochenende,weekend
neun,nine
fantastisch,fantastic
Bleibt,Remains
zweiten,second
vollkommen,completely
Unter,Under
verfolgen,track
schläft,sleeps
bemerkt,noticed
Marge,margin
Erste,First
erinnerst,remember
Deinen,Yours
Wichser,wanker
Signal,signal
Wollt,Want
Wieder,Again
schließen,close
Pistole,gun
lächerlich,ridiculous
Filme,Films